Date Made Public,Name & Location,type,Number of Records
10/10/2007,"Wheels Inc./Pfizer (Des Plaines, IL)","The spouses and domestic partners of about 1,800 Pfizer employees, including 23 from Connecticut, learned late last month about a data breach at Wheels Inc., which provides cars to the company, mostly for use by its sales force. The breach at Wheels, first reported by the Pharmalot Web site, released onto the Internet names, addresses, birth dates and driver's license numbers, but not Social Security numbers, according to the company.","1,800 + 23 Not included in Total because it is not clear if SSNs were exposed."
10/10/2007,"Commerce Bank (Wichita, KS)","A hacker gained access to a database with about 3,000 customer records and accessed data belonging to 20 of them. The bank is contacting those who may have been affected. The hacking was quickly detected and stopped, according to Commerce Bank, which then notified law enforcement.",20
10/12/2007,"King County Transportation Department (Seattle, WA)","A laptop computer containing personal information about current and former employees has been stolen. Workers' names, addresses and Social Security numbers were on the password-protected laptop, which was stolen during a Sept. 28 home burglary. The information was not encrypted.","1,400"
10/13/2007,"Montana State University (Bozeman, MT) (406) 994-6550 eu.montana.edu/security","An unknown hacker remotely accessed a computer server that housed records containing credit card numbers and Social Security numbers of students who enrolled online for MSU Extended University courses during the last two years. The data in question were encrypted, and there is no evidence that personal information was stolen.","1,400"
10/15/2007,"Transportation Security Administration (Arlington, VA)","Two laptop computers with detailed personal information about commercial drivers across the country who transport hazardous materials are missing and considered stolen. The laptops contained the names, addresses, birthdays, commercial driver's license numbers and, in some cases, Social Security numbers of 3,930 people.","3,930"
10/16/2007,"Administaff Inc. (Houston, TX)","Current and former workers personal data may be compromised because of a stolen laptop. The data wasn't encrypted when it was stored on the portable computer, which is password-protected. Data stored on the laptop included names, addresses and Social Security numbers for most employees paid by Administaff in 2006.","159,000"
10/17/2007,"Home Depot (Boston, MA)","A laptop computer containing about 10,000 employees' personal data was stolen from a regional manager's car. The computer, which was password protected, didn't contain any customer information. The laptop contained names, home addresses and Social Security numbers of certain Home Depot employees.","10,000"
10/17/2007,"Louisiana Office of Student Financial Assistance (Baton Rouge, LA) http://www.osfa.state.la.us/notice.htm",Sensitive data for virtually all Louisiana college applicants and their parents over the past nine years were in a case lost last month during a move. The data included Social Security numbers for applicants and their parents. The bank account information for START account holders also was involved. The data included Social Security numbers for applicants and their parents. The bank account information for START account holders also was involved.,Unknown
10/18/2007,"University of Cincinnati (Cincinnati, OH)","The personal information of thousands of University of Cincinnati students and graduates has been stolen. A flash drive was taken from a UC employee last month. It contained the Social Security numbers and other data for more than 7,000 people.","7,000"
10/23/2007,"West Virginia Public Employees Insurance Agency (Charleston, WV) (800) 435-4351","West Virginia officials are alerting 200,000 past and current members of three health insurance programs that a computer tape containing full names, addresses, phone numbers, Social Security numbers and marital status was lost last week while being shipped via United Parcel Service.","200,000"
10/23/2007,"Blockbuster (Sarasota, FL)","A Sarasota resident was fishing in a trash container for boxes when he found 400 documents. These documents included membership forms and employment applications with names, addresses, credit card numbers and Social Security numbers.",Unknown
10/23/2007,"Dixie State College (St George, UT) (866) 295-3033 idprotect@dixie.edu","An unauthorized person reportedly gained access to a computer system and confidential files, including Social Security numbers, birth date information and addresses for some 11,000 alumni and current DSC employees who graduated or worked at DSC from 1986 to 2005.","11,000"
10/23/2007,"Bates College (Lewiston, ME)","Two publicly accessible documents that contained the records of nearly 500 recipients of the federal Perkins Loan, along with each recipient's address, date of birth, Social Security number, legal name and loan amount, were accessible on the Bates network.",500
10/24/2007,"Not Your Average Joe's (Dartmouth, MA)","Massachusetts restaurants were targeted by an individual or individuals seeking to illegally obtain credit card data. The data that was compromised included credit card numbers, expiration date and name associated with the card.",Unknown
10/25/2007,"University of Akron (Akron, OH)","A microfilm containing the personal information of alumni were missing. Names, previous addresses, phone numbers, birth dates and Social Security numbers was on the missing microfilm.","1,200"
10/28/2007,"Art.com (Lockbourne, OH)","Cyberspace criminals gained systems entry despite ""multiple security layers"" and accessed some credit card transactions. The retailer of posters, prints and framed art alerted customers that hackers had gotten into the website to access credit card accounts.",Unknown
10/29/2007,"United States Postal Service (Oahu, HI)","Employees' names, Social Security numbers and other information were on a laptop computer that was stolen.","3,000"
10/29/2007,"ABC Phones/ACC Communications (Greenville, NC)","Two men found a box in a dumpster. The cell phone business recently moved and threw away documents that contained personal information from customers. The information contained driver's license numbers, Social Security number, bank account numbers, credit card numbers, work and home addresses.",Unknown
10/30/2007,"University of Nevada, Reno (Reno, NV)","A University of Nevada, Reno a administrative employee has lost a flash drive that contained the names and Social Security numbers of 16,000 current and former students.","16,000"
10/30/2007,"Hartford Financial Services Group (Hartford, CT/ OH)","Three backup tapes that contained personal information of 230,000 customers, including 9,200 Ohioans, mainly of the company's property lines, were misplaced.","230,000"
4/28/2008,"Hough, MacAdam & Wartnik (North Bend, OR)","A notebook computer was stolen from a locked vehicle. The notebook's hard drive may have contained names, Social Security numbers, and other personal information.",500
10/30/2007,"Pathology Group (Memphis, TN)","Someone broke into a locked office building, several computers with flat screen monitors were stolen. One of those computers had patient information on about 75,000 people. This information included names, addresses, Social Security number, even medical information","75,000"
11/1/2007,"City University of New York (New York City, NY)",A broken laptop containing personal information was taken from the school's financial aid office.,"20,000"
11/2/2007,"Montana State University (Bozeman, MT) (406) 994-6550 eu.montana.edu/security",MSU learned that an employee's laptop computer had been stolen somewhere off-campus. It contained the Social Security numbers of 216 students and employees who lived in on-campus housing from 1998 to 2007,216
11/2/2007,"Montana State University (Bozeman, MT) (406) 994-6550 eu.montana.edu/security","An independent security watchdog group informed MSU that an Excel spreadsheet with the names and Social Security numbers of 42 people, most of them hired in the summer of 2006, was publicly accessible on MSU's Web site.",42
11/2/2007,"Montana State University (Bozeman, MT) (406) 994-6550 eu.montana.edu/security","While investigating that breach, MSU data-security staff found another Excel spreadsheet accidentally posted on the MSU Web site since 2002. It contained the Social Security numbers of 13 people who got travel vouchers from the computer science department in the College of Engineering.",13
11/5/2007,"Alabama Department of Public Health (Montgomery, AL)","The personal information, including the names, ages and Social Security numbers of families enrolled in the state's ALL Kids health care coverage program, were accidentally sent to the wrong families last week. 1,554 affected families were alerted that some of their confidential information might have been released.","1,554 Not added to total due to unclear total."
11/6/2007,"Butte Community Bank (Chico, CA) (866) 488-8588","A laptop with customers' personal information including names, addresses, Social Security numbers and bank account numbers was stolen from Butte Community Bank.",Unknown
11/7/2007,"University of Connecticut Foundation/Convio (Storrs, CT) (800) 269-9965 security@foundation.uconn.edu http://www.friends.uconn.edu/ct/x1qm7ud1qm0J/","UConn was notified of a security breach by an outside party on the network of Convio, Inc., a vendor used by The University of Connecticut Foundation, Inc. for processing online gift transactions and communicating by e-mail. This breach affected 92 of Convio?s clients nationwide, including the UConn Foundation. User name and password for Convio account preferences was compromised in this breach.",Unknown
11/7/2007,"Carolinas Medical Center - NorthEast (Concord, NC)","A paramedic left a computer on the back bumper of an ambulance and then drove away. The laptop contains names, addresses, phone numbers and Social Security numbers of approximately 28,000 people who have been cared for by the Cabarrus County EMS over the last four years.","28,000"
11/13/2007,"Commerce Bancorp (Philadelphia, PA)",A Commerce Bancorp Inc. employee gave out personal information on an unspecified number of the Cherry Hill bank's customers. The Bank discovered the breach through an internal investigation and sent letters to affected customers. The bank does not know if the information included account numbers and Social Security numbers.,Unknown
11/15/2007,"Roudebush Veteran's Administration Medical Center (Indianapolis, IN)","Two personal computers and a laptop computer were allegedly stolen from an unsecured room. One of the stolen computers contained the names, Social Security numbers and dates of service of approximately 12,000 veterans. UPDATE (3/19/08) : A 50 year old Indianapolis man was arrested Monday on one count of Class D felony theft after investigators identified him from surveillance video. A probable cause affidavit, a sworn police statement filed in support of the charge, identifies him as a former patient at the facility.The man has been charged in the disappearance of hospital computer equipment that contained the records of nearly 12,000 patients.","12,000"
11/16/2007,"A.J. Falciani Realty Company (Vineland, NJ)","Computers containing the personal information of between 500 to 1,000 clients of A.J. Falciani Realty Company were taken in a burglary. Many of the stolen computers stored the names, addresses, Social Security numbers, dates of birth, telephone numbers and other information on the company's clients.",Unknown
11/16/2007,"University of Wisconsin-Whitewater (Whitewater, WI)",Officials were notified by one individual about his ability to access a online search feature for the schools website. A search feature that could be used to see student names and Social Security numbers along with some other limited student information. Access to the feature was promptly disabled upon notification of the problem.,Unknown
11/16/2007,U.S. Department of Veteran Affairs (Washington D.C),"Investigation from a man's home uncovered a computer that held about 1.8 million Social Security numbers from the U.S. Department of Veteran Affairs, where he had been employed as an auditor. Veterans Affairs' officials have said only 185,000 numbers are at risk because many were repeated in the file.","185,000"
12/10/2007,"Sutter Lakeside Hospital (Lakeport, CA) (866) 785-6443.","A laptop computer containing personal and medical information of approximately 45,000 former patients, employees and physicians has been stolen from the residence of a contractor.","45,000 Not added to total. It is not clear if SSNs or financial account numbers were exposed."
11/17/2007,"Ohio Masonic Home / Battelle & Battelle LLC (Springfield, OH)","A laptop stolen from a Kettering auditing firm contained personal information on employees of up to 10 businesses, including Springfield-based Ohio Masonic Home. Battelle & Battelle LLC would not disclose the number of individuals affected by the theft but Masonic Home officials said 600 of its employees' information was stored in the laptop.",600
11/21/2007,"University of Florida (Gainesville, FL) Those who suspect their Social Security numbers were posted can search their names on the Web site www.ssnbreach.org","More than 400 former UF students might have been put at risk for identity theft after their Social Security numbers were posted on UF's Computing & Networking Services Web site. A news release from the Liberty Coalition, a group that works to preserve the privacy of individuals, said 14 files on the Web site contained ""sensitive information"" of 534 former UF students, including 415 Social Security numbers.",415
11/21/2007,"United Healthcare (New York, NY)","United Healthcare posted the Social Security numbers of doctors at Columbia University?s faculty practice on a public Web site. United posted the taxpayer identification numbers, some of which were Social Security numbers, alongside the names of 993 providers at Columbia who participate in the insurer?s network. The list was supposed to be accessible to Columbia employees during the current open enrollment period",Unknown
11/29/2007,American Red Cross (North Dallas),"Six boxes were left unattended in a public hallway for more than six hours. The files contained personal information of current and former employees and were placed there by human resources. Names, addresses and social security numbers could have easily been stolen. The files also contained embarrassing information, including disciplinary actions, results from a drug test, a sexual harassment case; even someone's criminal record from another state.",Unknown
11/30/2007,Prescription Advantage (MA) (866) 523-6846 or (877) 610-0241 for those who are hearing impaired.,"The state of Massachusetts is warning 150,000 members of its Prescription Advantage insurance program that their personal information may have been snatched by an identity thief. Local authorities arrested a lone identity thief who had been using information taken from the program in an attempted identity theft scheme. Although the thief used information from just a small number of participants in the scheme, state data-breach laws require that the 150,000 people who could have possibly been affected by the breach be contacted.","150,000"
12/1/2007,"Community Blood Center/Battelle & Battelle LLC (Oakwood, OH)",Battelle & Battelle LLC was conducting an audit of the blood center's 401K plan when a laptop was stolen from a Battelle employee's vehicle. Up to 600 employees appeared to be affected.,600
12/4/2007,"Duke University (Durham, NC)","Social Security numbers of about 1,400 prospective law school applicants may have been compromised when a school Web site was accessed illegally.","1,400"
12/5/2007,"Memorial Blood Centers (Duluth, MN) Hot Line (888) 333-1491 Contacts: Memorial Blood Centers Laura Kaplan, (651) 332-7220 lkaplan@mbc.org or Weber Shandwick Jim McCartney,(952) 346-6688","A laptop computer holding donor information was stolen. About 268,000 donor records on this laptop computer contain a donor name in combination with the donor?s Social Security number.","268,000"
12/5/2007,"Forrester Research (Cambridge, MA)","Thieves stole a laptop from the home of a Forrester Research employee, potentially exposing the names, addresses and Social Security numbers of an undisclosed number of current and former employees and directors.",unknown
12/6/2007,"Oak Ridge National Laboratory (Oak Ridge, TN)","Hackers may have infiltrated a non-classified database containing names, Social Security numbers and birth dates of every lab visitor between 1990 and 2004. The assault was in the form of phony e-mails containing attachments, which when opened allowed hackers to penetrate the lab's computer security. The lab has sent letters to about 12,000 potential victims.","12,000"
12/7/2007,"Beacon Medical Services (Aurora, CO)","Detailed, personally identifiable medical records of thousands of Colorado residents were viewable on a publicly accessible Internet site for an uncertain period of time. The data included details of patients' visits to emergency rooms -- what ailments they complained of, diagnoses, treatments, and medical histories, along with the patients' names, occupations, addresses, phone numbers, insurance providers, and in some cases, Social Security numbers. The company is trying to determine the exact number of patients affected, but Beck says the number looks to be fewer than 5,000.",Unknown
12/7/2007,"Colorado Board of Dental Examiners (Lone Tree, CO)","More than a hundred Colorado dentists and their patients could be at risk for identity theft after a car containing a bag of sensitive information was stolen. Authorities found the car a few days later at an apartment complex where one of the alleged thieves lived. Inside the unit, police discovered a massive amount of personal information from previous crimes. Social Security numbers, dates of birth, the credit card numbers, the pin numbers to those credit cards, they even have the photo IDs of the individuals they stole those credit cards from.",Unknown
12/10/2007,"Cameron County (Brownsville, TX)","An employee released an e-mail with a list of all county officials and employees. It reportedly contained names, Social Security numbers, and salaries.",Unknown
6/13/2008,"Texas Insurance Claims Services (Dallas, TX)","Hundreds of files with people's names, Social Security numbers and policy numbers were found in a Richardson dumpster.",Unknown
12/10/2007,"Iowa Department of Natural Resources (Des Moines, IA)",A contractor working for the DNR revealed that a computer jump drive containing the names and Social Security numbers for 7000 people is missing. The contractor believes the jump drive fell off of his desk and into a garbage can.,"7,000"
12/14/2007,"Deloitte & Touche (New York, NY)","A laptop containing the personal information of an undisclosed number of Deloitte & Touche partners, principals and employees was stolen while in possession of a contractor responsible for scanning the accounting firm's pension fund documents. The computer contained confidential data, including names, Social Security numbers, birth dates, and other personnel information, such as hire and termination dates.",Unknown
12/17/2007,"West Penn Allegheny Health System (Pittsburgh, PA) (866) 559-6309 Monday through Friday from 10 a.m. to 6 p.m. or e-mail the hospital at askquestions@wpahs.org.","The names, Social Security numbers, phone numbers, addresses and patient care information of 42,000 patients were all on a laptop computer stolen from a nurse?s home. Only home care and hospice patients could be impacted, not patients at the hospitals.","42,000"
12/18/2007,"Brownsville School District (Brownsville, PA)","Forms with employee personal information littered the fence of a Brownsville school district warehouse. Information on litter contained confidential letters with names, bank account numbers, and Social Security numbers. The forms may be more than ten years old, but they each contain information that's still valuable.",Unknown
12/18/2007,"Pennsylvania Department of Aging (Harrisburg, PA)","A state Department of Aging-owned laptop computer containing personal information on senior citizens was stolen from a Johnstown home. The information included names, addresses, Social Security numbers and some medical information.","21,000"
12/20/2007,"Dormitory Authority of the State of New York (Manhattan, NY)","Data tapes containing Social Security numbers, phone numbers and addresses for up to 800 current and former employees of the state Dormitory Authority are missing.",800
12/20/2007,"Greenville County School District (Greenville, SC)","The district notified employees last week that the computers had been compromised and that employees' personal information was taken, including their names, home phone numbers and Social Security numbers.",Unknown
12/21/2008,"Connecticut Department of Motor Vehicles (Wethersfield, CT)","The Connecticut Department of Motor Vehicles is notifying customers that their personal information may have been on a computer stolen from a mobile service center vehicle while it was being repaired. Personal data on the computer included names, addresses, date of birth, license numbers, photo and signature.",155
12/21/2007,"Franklin County Municipal Court (Columbus, OH)","At least six central Ohioans are now under investigation by the U.S. Secret Service for hacking into a government Web site and stealing Social Security numbers to create false credit accounts. More than 270 people nationwide might have been victimized by a security lapse in the Franklin County Municipal Court Web site. Someone was randomly feeding Social Security numbers into a clerk's site, which contained personal information for thousands of people charged with misdemeanors, some guilty of only a speeding ticket. Once a number was hit on, the name, address, age and other information could be used to obtain credit cards and open bank accounts.",270
12/28/2007,"Minnesota Department of Commerce (St. Paul, MN)",A laptop computer containing personal information on Minnesotans licensed by the state Commerce Department was stolen from one of its Pennsylvania vendors.,219
12/28/2007,"Davidson County Election Commission (Nashville, TN)","Someone broke into several county offices over Christmas and stole laptop computers that county officials now believe may have contained Social Security numbers and other personal information for every registered voter in Davidson County. UPDATE (1/19/08): Metro Police confirmed late Thursday they have recovered the hard drive from the laptop computer, containing names and complete Social Security numbers for 337,000 registered voters, that was stolen from the Election Commission in December.","337,000"
12/28/2007,United States Air Force (Washington DC),"A military laptop computer is missing and it contains personal information including Social Security numbers, birth dates, addresses, and telephone numbers of active and retired Air Force members. The laptop belonged to an Air Force band member at Bolling Air Force Base, he reported it missing from his home.","10,501"
1/2/2008,"Workers Compensation Fund (Salt Lake City, UT)","Officials with one of Utah's largest insurance companies are searching for a stolen laptop containing Social Security numbers and other personal information for about 2,800 people and 1,400 companies. The computer was taken from a car parked in the home garage of an auditor for the Workers Compensation Fund.","2,800"
1/3/2008,"Dorothy Hains Elementary School (Augusta, GA)","The library door was kicked in and the circulation computer was stolen, something the principal desperately wants back because it has the Social Security numbers of students and teachers on it.",Unknown
2/15/2008,"Lexmark International (Lexington, KY)","The employee personal data was inadvertently exposed, it included Social Security numbers, dates of birth, along with names and addresses. The data was accessed by two unknown parties when the data was loaded to a company file sharing site.",Unknown
1/4/2008,"Health Net (Mountain View, CA/CT)","Thousands of Health Net employees in Connecticut and other states have been notified that their names and Social Security numbers were on a laptop computer that was stolen more than a month ago from a company vendor. The laptop had information on about 5,000 employees companywide and an undisclosed number of health-care providers outside the Northeast.","5,000"
1/4/2008,"Florida Department of Children and Families (Orange, Seminole, Osceola, FL)","Social Security numbers, birth dates and other information about day-care workers in Orange, Seminole and Osceola counties were among the data on five laptop computers that were stolen from the DCF office near Orlando.","1,200"
1/4/2008,"Maryland Department of Assessments and Taxation (Baltimore, MD)",The Maryland Department of Assessments and Taxation Web site may have exposed Social Security numbers online because the application system did not have a necessary security certificate to encrypt the information before it was sent out over the Internet. Roughly 900 people used the system.,900
1/5/2008,"New Mexico State University (Las Cruces, NM)",A computer hard drive containing the names and Social Security numbers of current and former NMSU employees is missing from the Pan American Center.,Unknown
1/7/2008,"Sears/ManageMyHome.com (Cook County, IL)",Sears' ManageMyHome.com site exposed customer purchase data to any online visitor who asked about it.,Unknown
1/7/2008,"Geeks.com (Oceanside, CA)","Personal and financial data may have been compromised by an intrusion into the systems of the online retailer's Web site. Compromised information included the names, addresses, telephone numbers and Visa credit card numbers.",Unknown
1/8/2008,"Wisconsin Department of Health and Family Services (Madison, WI)","Social Security numbers were printed on about 260,000 informational brochures sent by a vendor hired by the state, Electronic Data Systems Inc. (EDS), to recipients of SeniorCare, BadgerCare and Medicaid. The company agreed to pay $250,000 to the state for the mistake, as well as paying for an identity theft monitoring service for the affected individuals, for a total of about $1 million..","260,000"
1/8/2008,"University of Georgia (Athens, GA)","Former and perspective residents of a university housing complex effected by a hacker that was able to access a server containing personal information, including Social Security numbers. A computer with an overseas IP address was able to access the personal information ? including Social Security numbers, names and addresses ? of 540 current graduate students living in graduate family housing and 3,710 former students and applicants.","4,250"
1/10/2008,"Select Physical Therapy (Levelland, TX)","The company dumped about 4,000 pieces of sensitive customer information in garbage containers behind its facility. The records included Social Security numbers, credit and debit card account numbers, names, addresses and telephone numbers.","4,000"
1/11/2008,"University of Akron (Akron, OH)","A portable hard drive containing personal information is missing and may have been discarded or destroyed. The device contained Social Security numbers, names and addresses of students and graduates.",800
1/11/2008,"University of Iowa (Iowa City, IA)","Iowa College of Engineering has notified some of its former students that some of their personal information, including Social Security numbers, was inadvertently exposed on the Internet for several months.",216
1/11/2008,"Virginia Department of Social Services (Richmond, VA)","The Department of Social Services has mailed about 1,500 letters to warn of a ""potential security breach"" involving a department computer that police suspect was used to commit fraud. A woman is accused of using her work computer while employed by Social Services last summer to apply for a credit card using her landlord's information. She was charged with two felony counts, credit card fraud and forgery, and is accused of spending nearly $1,000 on the card.","1,500"
1/12/2008,"California State University, Stanislaus (Turlock, CA)","A possible data breach occurred on a food vendor's computer server. Credit card numbers, cardholder names and expiration dates were exposed, leaving hundreds, possibly thousands, of university students, staff and guests open to identity theft, with victims reporting fake charges on their cards. Social Security numbers were not accessible.",Unknown
1/14/2008,"Tennessee Tech University (Cookeville, TN)",A portable storage drive containing the names and Social Security numbers of 990 students has been lost. A school employee transferred the information onto a portable flash drive when the printer where he was working did not print. The employee noticed the drive was missing the next morning.,990
1/15/2008,"Department of Revenue Wisconsin (Lena, Marinette, Little Suamico, Freedom, Kaukauna, Kimberly, Little Chute, Krakow, Keshena and Lakewood, WI)","Taxpayers in northeastern Wisconsin had their Social Security numbers exposed in a state mailing. A folding error, apparently the result of a faulty machine, allowed the Social Security numbers to be seen through the clear address window of the envelope.","5,000"
2/16/2008,"Texas A&M University (College Station, TX)",A computer file containing the names and Social Security numbers of current and former Texas A&M University agricultural employees was inadvertently posted online and accessible to the public for three weeks.,"3,000"
1/15/2008,"Naval Surface Warfare Center Dahlgren Division (White Oak, MD) (800) 352-7967","Officials at the Naval Surface Warfare Center are warning past and present employees that their identities and credit ratings could be at risk. Two pages of a Naval Surface Warfare Center Employment Verification Report was found when four people were arrested in Bensalem Township, Pa., last week for attempted identity fraud. The report included names, Social Security numbers, birth dates, position titles, tenure codes, pay grades, salaries and other information about the employees.",Unknown
1/16/2008,"University of Wisconsin-Madison (Madison, WI)","The personal information, including e-mail addresses, phone numbers, Social Security numbers and campus ID numbers of faculty and staff who made purchases from the DoIT computer shop had been accessible on a campus Internet site.",Unknown
1/17/2008,"GE Money / Iron Mountain (Boston, MA)","Personal information on customers of J.C. Penney and up to 100 other retailers could be compromised after a computer tape went missing. The missing information includes Social Security numbers for about 150,000 people.","150,000"
1/23/2008,"Baylor University (Waco, TX)","A student employee breached the security of the Baylor Information Network to access the Bear ID and passwords of those logging on to the BIN. This access didn't include sensitive information like Social Security Numbers, financial information or academic records. It was just unlawful access to Bear IDs and passwords. The information did, however, give access to Baylor e-mail and Blackboard accounts.",Unknown
1/24/2008,"Fallon Community Health Plan (Worcester, MA)","A vendor computer containing personal information on patients of Fallon Community Health Plan has been stolen. The data included names, dates of birth, some diagnostic information and medical ID numbers. Some of which may be based on Social Security numbers.","30,000"
1/24/2008,"OmniAmerican Bank (Fort Worth, TX)","An international gang of cyber criminals hacked into the bank's records. They stole account numbers, created new PINs, fabricated debit cards, then withdrew cash from ATMs in Eastern Europe, Russia, Ukraine, Britain, Canada and New York. Fewer than 100 accounts, some of them dormant, were compromised.",Unknown
1/25/2008,"Penn State University (University Park, PA)",A university laptop containing archived information and Social Security numbers for 677 students attending Penn State between 1999 and 2004 was recently stolen from a faculty member.,677
1/28/2008,"T. Rowe Price Retirement Plan Services (Baltimore, MD)",Current and former participants in ?several hundred? retirement plans had their names and Social Security numbers contained in files on computers that were stolen.,"35,000"
1/29/2008,"Georgetown University (Washington, DC)","A hard drive containing the Social Security numbers of Georgetown students, alumni, faculty and staff was reported stolen from the office of Student Affairs.","38,000"
1/29/2008,"Wake County (NC) Emergency Medical Services (Raleigh, NC)","A Panasonic Toughbook used by county paramedics to store patient information on ambulance runs went missing from the WakeMed emergency department and now is thought to have been stolen. The laptop contained names, addresses and Social Security numbers. UPDATE (2/7/08): They have raised the patients estimate from 850 to 1,188. The laptop also may have the names and Social Security numbers of 3,454 emergency personnel. The number includes county paramedics, firefighters and contracted emergency medical technicians and paramedics from municipal agencies.","1,188 plus 3,454"
1/29/2008,"Horizon Blue Cross Blue Shield (Newark, NJ)","More than 300,000 members names, Social Security numbers and other personal information were contained on a laptop computer that was stolen. The laptop was being taken home by an employee who regularly works with member data.","300,000"
1/29/2008,"Trans Union/Intelenet Global Services (Fullerton, CA/Plano, TX)",Credit profiles of ?50 to 100 Americans have been altered? by the two employees of Malad-based Intelenet Global Services. the two arrested Intelenet employees?had been accessing and altering the data since August 2005. The statements of bank accounts of the two men revealed that money was being deposited from an international source for the past few months.,Unknown at this time.
1/30/2008,"Davidson Companies (Great Falls, MT)",A computer hacker broke into a database and obtained the names and Social Security numbers of virtually all of the Great Falls financial services company's clients. The database also included information such as account numbers and balances.,"226,000"
1/31/2008,"South Carolina Department of Health and Environmental Control (Spartanburg, Cherokee, Union, Greenville and Pickens counties, SC)","A laptop containing the names and Social Security numbers of state health department employees is missing. The computer was inside a worker's vehicle when it was stolen last week from a convenience store. State officials say the password-protected computer contains personal information of state health department workers from Spartanburg, Cherokee, Union, Greenville and Pickens counties.",400
2/15/2008,"Crosslines Ministries of Carthage (Carthage, MO)","One of the largest aid agencies in Carthage was burglarized and files, containing the personal information of about 2,000 families, were stolen. Kaiser said among the items stolen were paper files containing names, addresses, Social Security numbers and other personal information of individuals served by Crosslines.","2,000"
1/31/2008,"University of Minnesota Reproductive Medicine Center (Minneapolis, MN)","A doctor at the fertility clinic lost a flash drive that was used to back up his computer. The drive held details of infertility treatments for 3,100 patients going back to 1999. The lost drive included names, birthdates, and in some cases, diagnostic information, details of treatments, whether or not patients had conceived, baby names, and birth weights -- but apparently no SSNs or financial information.","3,100"
2/1/2008,"Marine Corps Bases Japan (Okinawa, Japan)","A laptop was stolen , which contained personally identifiable information for clients of Marine Corps Community Services' New Parent Support Program. The laptop may contain names, ranks, Social Security numbers, dates of birth, children's names and mailing addresses of U.S. military service members, U.S. government employees and Status of Forces Agreement personnel on Okinawa and Marine Corps Air Station Iwakuni. It does not include driver's license numbers or bank and credit card information.","4,000"
2/7/2008,"Memorial Hospital (South Bend, IN)","A laptop containing the personal information of full and part time employees and retirees is missing. The missing computer contains their names, addresses, birth dates, ID numbers and Social Security numbers.","4,300"
2/8/2008,"MLSgear.com (Louisville, KY)","Injection attacks on web servers hosted by a third-party service provider has compromised the personal data of an unspecified number of individuals who had shopped on Major League Soccer's MLSgear.com Web site. The compromised information included names, addresses, credit card data, debit card data, and MLSgear.com passwords.",Unknown
2/10/2008,"Administrative Systems, Inc (Seattle, WA)","A desktop computer stolen from an Administrative Systems, Inc. (ASI) office in Seattle contained names and sensitive information about customers or employees of several of the firm's clients: Continental American Medical, EyeMed Vision/Kelly Services Vision, and Jefferson Pilot Financial Dental. Personal details may have included name, date of birth, mailing address, and Social Security number, depending on the service being provided.",Unknown
2/11/2008,"Jefferson County Public Schools (Arvada, CO)","A special education technician had a personal laptop and jump drive stolen during a home robbery. Student name and date of birth, Student ID number, School location If the student has received district transportation additional information such as parent or guardian name and contact information, may also have been on the jump drive. The stolen information did not contain any Social Security numbers or financial information.","2,900"
2/12/2008,Modesto City Schools (Modesto CA) (209) 576-4192,"A computer hard drive holding the names, addresses, birth dates and Social Security numbers of Modesto City Schools? employees was stolen.","3,500"
2/12/2008,"Long Island University (Brookville, NY)","Students tax forms mailed to them last week in were in defective mailers. The mailers containing each student's annual 1098-T ""Tuition Statement"" were supposed to have adhesive on all four sides. But one side of each envelope was missing adhesive. The statement contains the student's name, address and Social Security number.","30,000"
2/13/2008,"Milwaukee County (Milwaukee, WI)","Milwaukee County officials mistakenly released numerous confidential court records for a citizens group's Web site that detail payments for tests and other costs linked to to mental competency, paternity and guardianship cases. Entries for psychiatric examinations and guardianship fees in which the clients' names were still listed,",Unknown
2/13/2008,Lifeblood (Memphis TN),"Laptop computers with birth dates and other personal information of roughly 321,000 blood donors are missing and presumed stolen. Stored inside both computers were names, birth dates and addresses at the time of the individual's last donation or attempted donation. In most cases, the donors' Social Security numbers were also stored, along with driver's licenses, telephone numbers, e-mail addresses, ethnicity, marital status, blood type and cholesterol levels. Social Security numbers had been used to track blood from the donor to the recipients.","321,000"
2/13/2008,"Middle Tennessee State University (Murfreesboro, TN)",A professor left the university computer unattended in the mass communication department about two weeks ago and an unidentified person is believed to have used the machine to send spam e-mails. The computer contained the names and Social Security numbers of past and current students.,"1,500"
2/14/2008,"Tenet Healthcare Corporation (Dallas, TX)","A ex-employee worked at a Frisco, Texas, billing center for less than two years, and is confirmed to have stolen the names, Social Security numbers and other personal information of about 90 patients. The employee also had access to 37,000 other accounts.","37,000"
2/15/2008,"Systematic Automation Inc (Fullerton, CA)","Police filed possession of stolen property charges against a prison parolee who was arrested for having a computer with more than 40,000 names, addresses and Social Security numbers of California residents. The computer was stolen from Systematic Automation Inc., which processes individualized annual statements customized for employees with a summary of their health and other employee benefits. The hard drive contained employee information from 19 agencies. Some of the larger agencies include the Modesto City Schools, Clovis Unified School District, Los Angeles Department of Water and Power, and the Torrance Unified School District.","40,000"
2/18/2008,"First Magnus Financial (Ft. Lauderdale, FL)","Outside a University of Phoenix Building in Ft. Lauderdale, files and paperwork belonging to the defunct First Magnus Financial were just lying in stacked boxes inside an industrial garbage container. The paperwork contained Social Security numbers, credit card information, addresses, and properties.",Unknown
